Portfolio,Mu,Sigma,Sharpe,Treynor,Sortino,Omega,Mu_anual,Sigma_anual,Beta,VaR,CVaR,MaxDrawdown,Profit_%,YearMonth,Year,Asset_Class,Method
Risk_Parity,2.463,4.116,0.598,0.029,2.082,4.85,29.562,14.259,0.842,0.029,0.033,3.251,32.747,2024-12,2024,Financieros,Risk_Parity
Risk_Parity,2.231,2.528,0.882,0.082,7.316,12.001,26.771,8.758,0.272,0.01,0.01,1.384,29.876,2019-12,2019,Consumo,Risk_Parity
Risk_Parity,1.297,5.118,0.253,0.021,0.386,1.931,15.558,17.728,0.615,0.07,0.078,13.565,15.069,2020-12,2020,Consumo,Risk_Parity
Risk_Parity,1.794,4.663,0.385,0.017,0.758,2.633,21.523,16.151,1.029,0.048,0.059,3.96,22.352,2021-12,2021,Consumo,Risk_Parity
Risk_Parity,0.009,5.594,0.002,0.0,0.004,1.004,0.104,19.378,0.655,0.069,0.07,11.192,-1.582,2022-12,2022,Consumo,Risk_Parity
Risk_Parity,0.637,3.397,0.188,0.012,0.423,1.548,7.648,11.767,0.521,0.043,0.047,6.283,7.245,2023-12,2023,Consumo,Risk_Parity
Risk_Parity,2.076,3.466,0.599,0.026,1.134,4.566,24.915,12.007,0.81,0.031,0.042,4.172,27.156,2024-12,2024,Consumo,Risk_Parity
Risk_Parity,1.094,5.544,0.197,0.009,0.379,1.578,13.132,19.205,1.183,0.076,0.079,13.725,12.056,2019-12,2019,Energia,Risk_Parity
Risk_Parity,-2.219,14.533,-0.153,-0.013,-0.263,0.66,-26.627,50.345,1.75,0.2,0.277,44.519,-32.264,2020-12,2020,Energia,Risk_Parity
Risk_Parity,3.234,7.018,0.461,1.052,0.866,3.275,38.804,24.311,0.031,0.074,0.078,8.331,42.819,2021-12,2021,Energia,Risk_Parity
Risk_Parity,3.774,10.933,0.345,0.035,0.485,2.475,45.293,37.872,1.077,0.128,0.182,18.197,46.408,2022-12,2022,Energia,Risk_Parity
Risk_Parity,0.421,4.894,0.086,0.012,0.12,1.251,5.049,16.953,0.34,0.07,0.097,11.13,3.779,2023-12,2023,Energia,Risk_Parity
Risk_Parity,-0.497,3.761,-0.132,-0.012,-1.17,0.712,-5.969,13.028,0.414,0.046,0.046,16.258,-6.535,2024-12,2024,Energia,Risk_Parity
Risk_Parity,2.413,7.721,0.313,0.013,0.486,2.307,28.96,26.745,1.846,0.098,0.098,11.213,29.015,2019-12,2019,Industriales,Risk_Parity
Risk_Parity,1.59,9.265,0.172,0.015,0.229,1.647,19.078,32.093,1.033,0.118,0.169,23.264,15.387,2020-12,2020,Industriales,Risk_Parity
Risk_Parity,1.189,5.45,0.218,0.01,0.396,1.78,14.266,18.878,1.147,0.06,0.081,11.932,13.413,2021-12,2021,Industriales,Risk_Parity
Risk_Parity,0.136,9.592,0.014,0.001,0.028,1.037,1.627,33.229,1.375,0.117,0.132,24.521,-3.276,2022-12,2022,Industriales,Risk_Parity
Risk_Parity,1.639,6.221,0.263,0.013,0.804,1.928,19.667,21.55,1.268,0.057,0.07,12.256,19.084,2023-12,2023,Industriales,Risk_Parity
Risk_Parity,1.496,4.182,0.358,0.017,0.812,2.428,17.947,14.486,0.903,0.044,0.045,4.511,18.388,2024-12,2024,Industriales,Risk_Parity
Risk_Parity,0.673,0.925,0.728,0.217,2.835,11.651,8.081,3.205,0.031,0.003,0.005,0.526,8.337,2019-12,2019,Bonos,Risk_Parity
Risk_Parity,0.62,1.261,0.492,0.051,0.646,3.38,7.444,4.367,0.121,0.012,0.022,2.205,7.61,2020-12,2020,Bonos,Risk_Parity
Risk_Parity,-0.069,0.538,-0.127,-0.02,-0.191,0.717,-0.822,1.863,0.035,0.008,0.01,1.592,-0.835,2021-12,2021,Bonos,Risk_Parity
Risk_Parity,-0.683,1.596,-0.428,-0.035,-0.98,0.378,-8.193,5.527,0.197,0.024,0.027,8.418,-8.022,2022-12,2022,Bonos,Risk_Parity
Risk_Parity,0.452,1.984,0.228,0.011,0.621,1.816,5.422,6.873,0.395,0.021,0.022,4.289,5.333,2023-12,2023,Bonos,Risk_Parity
Risk_Parity,0.19,1.397,0.136,0.007,0.462,1.361,2.285,4.841,0.278,0.018,0.018,2.798,2.199,2024-12,2024,Bonos,Risk_Parity
Risk_Parity,5.408,22.87,0.236,-0.023,1.307,1.78,64.892,79.226,-2.326,0.177,0.182,49.825,46.871,2019-12,2019,Criptomonedas,Risk_Parity
Risk_Parity,15.905,30.878,0.515,0.052,1.136,5.427,190.859,106.964,3.059,0.187,0.312,31.251,304.636,2020-12,2020,Criptomonedas,Risk_Parity
Risk_Parity,26.839,52.265,0.514,0.063,6.965,5.485,322.067,181.051,4.264,0.205,0.233,35.228,699.745,2021-12,2021,Criptomonedas,Risk_Parity
Risk_Parity,-6.551,18.312,-0.358,-0.04,-0.757,0.423,-78.614,63.433,1.646,0.283,0.357,61.669,-64.068,2022-12,2022,Criptomonedas,Risk_Parity
Risk_Parity,7.358,15.301,0.481,0.046,1.337,3.832,88.292,53.005,1.588,0.115,0.153,18.168,110.096,2023-12,2023,Criptomonedas,Risk_Parity
Risk_Parity,10.88,32.314,0.337,0.016,1.966,3.725,130.564,111.939,6.603,0.143,0.165,21.556,141.088,2024-12,2024,Criptomonedas,Risk_Parity
Risk_Parity,1.666,2.803,0.594,0.051,1.897,5.869,19.989,9.708,0.329,0.015,0.022,2.219,21.423,2019-12,2019,Alternativos,Risk_Parity
